tmdb_id,title,release_date,budget,revenue,runtime,log10_budget,is_franchise,sequel_index,release_month,is_holiday_window,is_summer_window,competing_release_count,cast_star_power,director_prior_median_rev,studio_tier,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_war,genre_western,cert_g,cert_pg,cert_pg13,cert_r,cert_nc17,log10_revenue,is_hit
299534,"Avengers: Endgame",2019-04-24,356000000,2799439100,181,8.5514,1,2,4,0,0,2,23,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.4471,1
420818,"The Lion King",2019-07-12,260000000,1662020819,118,8.415,1,2,7,0,1,4,10,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2206,1
330457,"Frozen II",2019-11-20,150000000,1453683476,103,8.1761,1,2,11,1,0,3,10,400,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1625,1
429617,"Spider-Man: Far From Home",2019-06-28,160000000,1132723226,129,8.2041,1,2,6,0,1,3,27,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0541,1
299537,"Captain Marvel",2019-03-06,152000000,1131416446,124,8.1818,1,2,3,0,0,4,16,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0536,1
475557,"Joker",2019-10-01,55000000,1078958629,122,7.7404,1,2,10,0,0,2,14,400,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.033,1
181812,"Star Wars: The Rise of Skywalker",2019-12-18,489900000,1074144248,142,8.6901,1,2,12,1,0,1,11,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0311,0
301528,"Toy Story 4",2019-06-19,175000000,1073841394,100,8.243,1,2,6,0,1,4,22,400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0309,1
420817,"Aladdin",2019-05-22,183000000,1054304000,127,8.2625,0,1,5,0,1,2,11,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.023,1
512200,"Jumanji: The Next Level",2019-12-04,125000000,801693929,123,8.0969,1,2,12,1,0,2,19,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.904,1
634649,"Spider-Man: No Way Home",2021-12-15,200000000,1921426073,148,8.301,1,2,12,1,0,4,26,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2836,1
779029,"The Battle at Lake Changjin",2021-09-30,200000000,902540935,178,8.301,1,2,9,0,0,4,10,400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9555,1
758891,"Hi Mom",2021-02-12,59000000,822049668,128,7.7709,0,1,2,0,0,2,10,400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9149,1
370172,"No Time to Die",2021-09-29,250000000,774153024,163,8.3979,1,2,9,0,0,4,14,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8888,1
385128,"F9",2021-05-19,200000000,726229501,143,8.301,1,2,5,0,1,2,15,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8611,1
602666,"Detective Chinatown 3",2021-02-12,117000000,686257563,136,8.0682,1,2,2,0,0,1,10,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8365,1
580489,"Venom: Let There Be Carnage",2021-09-30,110000000,506863592,97,8.0414,1,2,9,0,0,4,18,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.7049,1
399566,"Godzilla vs. Kong",2021-03-24,200000000,470116094,114,8.301,1,2,3,0,0,2,10,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.6722,0
566525,"Shang-Chi and the Legend of the Ten Rings",2021-09-01,150000000,432243292,132,8.1761,0,1,9,0,0,1,12,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.6357,1
438631,"Dune",2021-09-15,165000000,410668500,155,8.2175,1,2,9,0,0,1,24,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.6135,0
76600,"Avatar: The Way of Water",2022-12-14,460000000,2334484620,192,8.6628,1,2,12,1,0,1,20,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.3682,1
361743,"Top Gun: Maverick",2022-05-21,170000000,1488732821,131,8.2304,1,2,5,0,1,1,21,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1728,1
507086,"Jurassic World Dominion",2022-06-01,658800000,1004004592,147,8.8188,1,2,6,0,1,2,15,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0017,0
453395,"Doctor Strange in the Multiverse of Madness",2022-05-04,295400000,955775804,126,8.4704,1,2,5,0,1,3,15,400,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9804,1
438148,"Minions: The Rise of Gru",2022-06-29,85000000,940203765,87,7.9294,1,2,6,0,1,4,11,400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9732,1
505642,"Black Panther: Wakanda Forever",2022-11-09,250000000,859102154,162,8.3979,1,2,11,1,0,2,10,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.934,1
414906,"The Batman",2022-03-01,185000000,772775278,177,8.2672,1,2,3,0,0,3,19,400,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8881,1
616037,"Thor: Love and Thunder",2022-07-06,250000000,760928081,119,8.3979,1,2,7,0,1,1,18,400,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8813,1
928123,"The Battle at Lake Changjin II: Water Gate Bridge",2022-02-01,200000000,626203271,149,8.301,1,2,2,0,0,1,10,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.7967,1
315162,"Puss in Boots: The Last Wish",2022-12-07,90000000,484700000,103,7.9542,1,2,12,1,0,1,12,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.6855,1
346698,"Barbie",2023-07-19,145000000,1447138421,114,8.1614,0,1,7,0,1,1,20,400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1605,1
502356,"The Super Mario Bros. Movie",2023-04-05,100000000,1360879735,93,8,1,2,4,0,0,4,19,400,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1338,1
872585,"Oppenheimer",2023-07-19,100000000,952000000,181,8,0,1,7,0,1,3,26,400,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9786,1
447365,"Guardians of the Galaxy Vol. 3",2023-05-03,250000000,845550000,150,8.3979,1,2,5,0,1,4,19,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.9271,1
385687,"Fast X",2023-05-17,340000000,704709660,142,8.5315,1,2,5,0,1,1,15,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.848,0
569094,"Spider-Man: Across the Spider-Verse",2023-05-31,100000000,690897910,140,8,1,2,5,0,1,4,10,400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8394,1
842675,"The Wandering Earth II",2023-01-22,73800000,665000000,174,7.8681,1,2,1,0,0,1,10,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.8228,1
787699,"Wonka",2023-12-06,125000000,634502312,117,8.0969,1,2,12,1,0,3,13,400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8024,1
575264,"Mission: Impossible - Dead Reckoning Part One",2023-07-08,220000000,571125435,164,8.3424,1,2,7,0,1,3,20,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.7567,1
1022789,"Inside Out 2",2024-06-11,200000000,1698863816,97,8.301,1,2,6,0,1,4,10,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2302,1
533535,"Deadpool & Wolverine",2024-07-24,200000000,1338073645,128,8.301,1,2,7,0,1,4,19,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1265,1
1241982,"Moana 2",2024-11-21,150000000,1059242164,100,8.1761,1,2,11,1,0,4,10,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.025,1
519182,"Despicable Me 4",2024-06-20,100000000,972021410,94,8,1,2,6,0,1,3,13,400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9877,1
402431,"Wicked",2024-10-16,150000000,763963597,162,8.1761,1,2,10,0,0,4,12,400,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8831,1
762509,"Mufasa: The Lion King",2024-12-18,200000000,722631756,118,8.301,1,2,12,1,0,3,10,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8589,1
693134,"Dune: Part Two",2024-02-27,190000000,714844358,167,8.2788,1,2,2,0,0,3,26,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.8542,1
823464,"Godzilla x Kong: The New Empire",2024-03-27,150000000,571750016,115,8.1761,1,2,3,0,0,2,11,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.7572,1
1011985,"Kung Fu Panda 4",2024-03-02,80000000,548040835,94,7.9031,1,2,3,0,0,4,15,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.7388,1
939243,"Sonic the Hedgehog 3",2024-12-19,122000000,492162604,110,8.0864,1,2,12,1,0,3,18,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.6921,1
